,combined
295,India.cheese.Dudh churpi
296,"India.cheese.Kalari, Kradi"
297,India.cheese.Paneer
298,India.dairy product.Chaas
299,"India.dairy product.Ghee, Gheu"
300,"India.dairy product.Misti dahi, Mishti doi, Lal dahi, Payodhi"
301,"India.dairy product.Pheuja, Suja"
302,India.dairy product.Philu
303,India.dairy product.Phrung
304,India.dairy product.Shrikhand
305,India.dairy product.Somar
306,"India.fermented cereal.Aakhone, Axone"
307,India.fermented cereal.Adai
308,India.fermented cereal.Anarshe
309,India.fermented cereal.Appam
310,India.fermented cereal.Bhattejaanr
311,India.fermented cereal.Chakuli pitha
312,India.fermented cereal.Dosa
313,India.fermented cereal.Enduri Pitha
314,India.fermented cereal.Handawa
315,India.fermented cereal.Idli
316,India.fermented cereal.Jalebi
317,India.fermented cereal.Kanji
318,India.fermented cereal.Khaman
319,India.fermented cereal.Kurdi
320,"India.fermented cereal.Papadam, Papadum, Papad"
321,India.fermented cereal.Selroti
322,India.fermented cereal.Taotjo
323,India.fermented cereal.Torani
324,India.fermented fish.Bordia
325,India.fermented fish.Gnuchi
326,India.fermented fish.Hentak
327,India.fermented fish.Karati
328,India.fermented fish.Lashim
329,India.fermented fish.Ngari
330,India.fermented fish.Shidal
331,India.fermented fish.Suka ko maacha
332,India.fermented fish.Sukuti
333,India.fermented fish.Tungtap
334,India.fermented legumes.Bekang
335,India.fermented legumes.Dhokla
336,India.fermented legumes.Hawaijar
337,India.fermented legumes.Kinema
338,India.fermented legumes.Tungrymbai
339,India.fermented legumes.Vada
340,India.fermented meat.Arjia
341,India.fermented meat.Chartayshya
342,India.fermented meat.Chilu
343,India.fermented meat.Faak kargyong
344,"India.fermented meat.Jamma, Geema"
345,India.fermented meat.Kheuri
346,India.fermented meat.Lang kargyong
347,India.fermented meat.Suka ko masu
348,India.fermented meat.Sukakomasu
349,India.fermented meat.Yak Kargyong
350,India.fermented vegetables.Anishi
351,"India.fermented vegetables.Bastanga, Ekung, Eup, Soijim, Soibum"
352,India.fermented vegetables.Ekung
353,India.fermented vegetables.Goyang
354,India.fermented vegetables.Hirring
355,"India.fermented vegetables.Inziangsang, Inziangdui"
356,India.fermented vegetables.Khalpi
357,India.fermented vegetables.Lung-siej
358,India.fermented vegetables.Mesu
359,India.fermented vegetables.Sinki
360,India.fermented vegetables.Soidon
361,India.fermented vegetables.Tuaithur
362,India.yogurt.Dahi
363,India.yogurt.Lassi
364,Indonesia.alcoholic beverage.Tapai
365,Indonesia.dairy product.Dadih
366,Indonesia.fermented cereal.Brem
367,Indonesia.fermented cereal.Kecap
368,Indonesia.fermented cereal.Lao-chao
369,Indonesia.fermented cereal.Tempeh
370,Indonesia.fermented fish.Bakasang
371,Indonesia.fermented fish.Ikan Peda
372,Indonesia.fermented fish.Patis
373,Indonesia.fermented fish.Pedah
374,Indonesia.fermented fish.Terasi
375,Indonesia.fermented fruit.Mandai
376,Indonesia.fermented fruit.Tempoyak
377,Indonesia.fermented legumes.Oncom
378,Indonesia.fermented legumes.Tauco
379,Indonesia.fermented meat.Urutan
380,Indonesia.fermented roots.Gatot
381,Indonesia.fermented roots.Growol
382,Indonesia.fermented vegetables.Acar
383,Indonesia.fermented vegetables.Sayur asin
384,Indonesia.other.Telur Asin
385,Iran.cheese.Lor
386,Iran.dairy product.Doogh
387,"Iran.dairy product.Kaymak, Kajmak, Kaimak, Gemagh, Geymar"
388,Iran.fermented cereal.Jalebi
389,"Iraq.dairy product.Kaymak, Kajmak, Kaimak, Gemagh, Geymar"
390,Iraq.fermented cereal.Jalebi
391,Ireland.alcoholic beverage.Cider
392,Ireland.cheese.Cashel Blue
393,Ireland.cheese.Dilliskus
394,Ireland.cheese.Durrus
395,Ireland.cheese.Gubbeen
396,Ireland.cheese.Milleens
397,Italy.cheese.Asiago
398,"Italy.cheese.Bros, Bross, Brus, Bruss, Bruzzo"
399,Italy.cheese.Burrata
400,Italy.cheese.Caciocavallo
401,Italy.cheese.Caprino Fresco
402,Italy.cheese.Caprino Stagionato
403,Italy.cheese.Casu martzu
404,Italy.cheese.Fontina Val D'Aosta
405,Italy.cheese.Gorgonzola
406,Italy.cheese.Grana Padano
407,Italy.cheese.Mascarpone
408,Italy.cheese.Montasio
409,Italy.cheese.Mozzarella di Bufala
410,Italy.cheese.Murazzano
411,Italy.cheese.Pecorino Romano
412,Italy.cheese.Pecorino Sardo
413,Italy.cheese.Pecorino Siciliano
414,Italy.cheese.Pecorino Toscano
415,Italy.cheese.Provolone Valpadana
416,Italy.cheese.Provolone del Monaco
